scope,w,pred_xrv,pred_rv,reliab,n_units
pitcher overall,0.0,0.16635498600722562,-0.06338618427508651,0.5755581450130683,258
pitcher overall,0.1,0.20401166820954497,-0.08699345105960099,0.5660084060293582,258
pitcher overall,0.2,0.24596250829840752,-0.113946925539493,0.5644540551997067,258
pitcher overall,0.3,0.2898150864631041,-0.14310883729899834,0.5763554159185905,258
pitcher overall,0.4,0.3310086260073772,-0.17195529130855988,0.6061263515512525,258
pitcher overall,0.5,0.3636910113248306,-0.1969085360835578,0.653100385981459,258
pitcher overall,0.55,0.37530157276132836,-0.20687310713813606,0.6807946963541684,258
pitcher overall,0.6,0.3833737508710588,-0.21482355022125652,0.709405152114525,258
pitcher overall,0.65,0.3879683904909875,-0.22070705431868012,0.7374643002095448,258
pitcher overall,0.7,0.3893879577065005,-0.22462331160330773,0.76373976547688,258
pitcher overall,0.75,0.3880969314982278,-0.22678501357748496,0.7873690362888082,258
pitcher overall,0.8,0.384632788487591,-0.22746815727762276,0.8078872579191904,258
pitcher overall,0.9,0.3732750248927571,-0.2255594416424011,0.8393571543310665,258
pitcher overall,1.0,0.35884354273932084,-0.22096528504499177,0.8596208050096833,258
starters,0.0,0.09683937031709426,-0.036345741940640254,0.6190982244896202,146
starters,0.1,0.13069878699792933,-0.05592956914454461,0.6246771722885793,146
starters,0.2,0.16859648450339795,-0.07814379058404683,0.6387443509261803,146
starters,0.3,0.20888856798305175,-0.10217788235446616,0.6636445715043412,146
starters,0.4,0.24843182082016962,-0.1263345889714198,0.6997226289434711,146
starters,0.5,0.2830785824973461,-0.1482432079288325,0.7437412110341293,146
starters,0.55,0.29736334445095675,-0.15762768261775678,0.7667524753854146,146
starters,0.6,0.30920965047832033,-0.16569230988525063,0.7891850298847042,146
starters,0.65,0.3185150202571165,-0.17234521511222706,0.8101922858447598,146
starters,0.7,0.32534082076056253,-0.17758852617612328,0.8291202384286183,146
starters,0.75,0.32988019805556335,-0.1815033201181435,0.8455562465424737,146
starters,0.8,0.33241279908308846,-0.18422584100644346,0.8593276919778391,146
starters,0.9,0.3327420835241035,-0.18676615416105352,0.87913843100806,146
starters,1.0,0.3287854933543798,-0.1865464126275099,0.8901922124000868,146
relievers,0.0,0.2203410212128788,-0.07858366062561187,0.554531327634919,112
relievers,0.1,0.25557700050214915,-0.10267858456724278,0.5342063999344141,112
relievers,0.2,0.29455768622162243,-0.1305544809336074,0.520066227156162,112
relievers,0.3,0.3342550147702224,-0.1609366050740182,0.5195496041469924,112
relievers,0.4,0.3688485875755174,-0.19065077066538696,0.5406479420473745,112
relievers,0.5,0.3910778176159037,-0.21498996123953087,0.5859699270063526,112
relievers,0.55,0.39590012519557294,-0.2238002220830182,0.615618733063257,112
relievers,0.6,0.39636586123450157,-0.23001595416320314,0.6475979210349272,112
relievers,0.65,0.3928610845980901,-0.2336806095995327,0.6799321440606741,112
relievers,0.7,0.38606040489177307,-0.23504746044376768,0.7108969404856478,112
relievers,0.75,0.37677194424139704,-0.23449984612554334,0.7392438699925806,112
relievers,0.8,0.3657971898620614,-0.232467052936671,0.7642575795388654,112
relievers,0.9,0.341454520279432,-0.2255317554977993,0.8036136223612574,112
relievers,1.0,0.31694575205982767,-0.2167827788840329,0.8302133826261563,112
per pitch type,0.0,0.23011709218193174,-0.05280338967583321,0.621996829553825,892
per pitch type,0.1,0.25355416277753334,-0.06602282478565695,0.6305353035225042,892
per pitch type,0.2,0.2768041012425949,-0.0799784008027716,0.6445696040894126,892
per pitch type,0.3,0.2985187501249237,-0.09414225553888152,0.6646405508077068,892
per pitch type,0.4,0.3171350423510849,-0.10779582183407627,0.6901995798110463,892
per pitch type,0.5,0.33120644850930536,-0.12014580958276204,0.719305614149135,892
per pitch type,0.55,0.33621800764428467,-0.12560911401614866,0.7342675966926067,892
per pitch type,0.6,0.3398030748041327,-0.1305098098546481,0.7489540999303826,892
per pitch type,0.65,0.34196966421649777,-0.13480840127679602,0.7629818225650811,892
per pitch type,0.7,0.34277519230519754,-0.13848842010336337,0.7760284634997054,892
per pitch type,0.75,0.3423185094680867,-0.14155523323316066,0.7878532643886978,892
per pitch type,0.8,0.3407291333092756,-0.14403302996323197,0.7983048229657111,892
per pitch type,0.9,0.3347537985517342,-0.14738707896476252,0.8148982447250541,892
per pitch type,1.0,0.3260759100298904,-0.14895674765171302,0.8260615796931197,892
