config,seed,reliab,pred,desc,mins
baseline,0,0.8578672876100112,0.3031798989789391,0.3769382205061356,1.689199451605479
baseline,1,0.8593115045971734,0.3019270422266905,0.3727309804131666,2.183957235018412
baseline,2,0.8604683549317526,0.3071042323159077,0.37446399119663637,2.2115906278292337
drop_rel_z,0,0.8587544293056736,0.31151454726249594,0.37865770693273176,2.08811248143514
drop_rel_z,1,0.8597426448022828,0.3165486481946585,0.3847866620690647,2.2021694143613177
drop_rel_z,2,0.8628093037875707,0.3148016794490381,0.3821676822973946,2.169489582379659
drop_rz_hbd_spin,0,0.8605246780074672,0.31685050415895694,0.3853662631960203,2.033974798520406
drop_rz_hbd_spin,1,0.8626123951185907,0.31470073774783053,0.38237086991881897,2.0742831667264303
drop_rz_hbd_spin,2,0.8629327356061269,0.31840464466160295,0.38624798809756633,2.1044639150301614
drop_hb_diff,0,0.8607928325590861,0.29827748473140164,0.379153979638001,2.2008479475975036
drop_spin_rate,0,0.862276460676333,0.3044471339942739,0.37335810595911856,2.2585841019948325
drop_platoon,0,0.8652486869711233,0.30144962965365496,0.36216836548481696,2.2396035313606264
noarm_base,0,0.8562846217927368,0.25760280140358066,0.3364098569281676,2.269766100247701
noarm_no_rel_z,0,0.8541125660558042,0.27209276292306894,0.3450100677787967,2.2732617179552714
